,Year,Wteam,Lteam,prob,WTeamName,LTeamName
0,2018.0,1104.0,1112.0,0.24361759985952758,Alabama,Arizona
1,2018.0,1104.0,1113.0,0.1315753621535265,Alabama,Arizona St
2,2018.0,1104.0,1116.0,0.4708259445024886,Alabama,Arkansas
3,2018.0,1104.0,1120.0,0.4730622797213634,Alabama,Auburn
4,2018.0,1104.0,1137.0,0.9853050173369253,Alabama,Bucknell
5,2018.0,1104.0,1138.0,0.9966265721777253,Alabama,Buffalo
6,2018.0,1104.0,1139.0,0.5765644797949003,Alabama,Butler
7,2018.0,1104.0,1153.0,0.39128300735895283,Alabama,Cincinnati
8,2018.0,1104.0,1155.0,0.35327372106788857,Alabama,Clemson
9,2018.0,1104.0,1158.0,0.9897851831307075,Alabama,Col Charleston
10,2018.0,1104.0,1166.0,0.5423145813346133,Alabama,Creighton
11,2018.0,1104.0,1168.0,,Alabama,CS Fullerton
12,2018.0,1104.0,1172.0,0.5759218087530605,Alabama,Davidson
13,2018.0,1104.0,1181.0,0.19815221786325174,Alabama,Duke
14,2018.0,1104.0,1196.0,0.3207212179528328,Alabama,Florida
15,2018.0,1104.0,1199.0,0.25728066027734514,Alabama,Florida St
16,2018.0,1104.0,1209.0,,Alabama,Georgia St
17,2018.0,1104.0,1211.0,0.39074458544161284,Alabama,Gonzaga
18,2018.0,1104.0,1222.0,0.3386186092697347,Alabama,Houston
19,2018.0,1104.0,1233.0,0.9899658268530033,Alabama,Iona
20,2018.0,1104.0,1242.0,0.10978094819668022,Alabama,Kansas
21,2018.0,1104.0,1243.0,0.5453343850927406,Alabama,Kansas St
22,2018.0,1104.0,1246.0,0.44715478131144304,Alabama,Kentucky
23,2018.0,1104.0,1252.0,0.9902959865886207,Alabama,Lipscomb
24,2018.0,1104.0,1254.0,,Alabama,Long Island
25,2018.0,1104.0,1260.0,,Alabama,Loyola-Chicago
26,2018.0,1104.0,1267.0,0.7924552380152448,Alabama,Marshall
27,2018.0,1104.0,1274.0,0.3215156458481617,Alabama,Miami FL
28,2018.0,1104.0,1276.0,0.3655156857559744,Alabama,Michigan
29,2018.0,1104.0,1277.0,0.5430355046274075,Alabama,Michigan St
30,2018.0,1104.0,1281.0,0.49134516625218533,Alabama,Missouri
31,2018.0,1104.0,1285.0,0.959792797412199,Alabama,Montana
32,2018.0,1104.0,1293.0,0.895946977461115,Alabama,Murray St
33,2018.0,1104.0,1300.0,0.9916569706760924,Alabama,NC Central
34,2018.0,1104.0,1301.0,0.30865378143869404,Alabama,NC State
35,2018.0,1104.0,1305.0,0.5001598326800708,Alabama,Nevada
36,2018.0,1104.0,1308.0,,Alabama,New Mexico St
37,2018.0,1104.0,1314.0,0.2574201021243714,Alabama,North Carolina
38,2018.0,1104.0,1326.0,0.5415326059086826,Alabama,Ohio St
39,2018.0,1104.0,1328.0,0.5021323085758753,Alabama,Oklahoma
40,2018.0,1104.0,1335.0,0.950042709396859,Alabama,Penn
41,2018.0,1104.0,1344.0,0.4897109059248666,Alabama,Providence
42,2018.0,1104.0,1345.0,0.44139753638660983,Alabama,Purdue
43,2018.0,1104.0,1347.0,0.98979645792261,Alabama,Radford
44,2018.0,1104.0,1348.0,0.6262136655529612,Alabama,Rhode Island
45,2018.0,1104.0,1355.0,0.924489748917716,Alabama,S Dakota St
46,2018.0,1104.0,1361.0,0.27499385987388514,Alabama,San Diego St
47,2018.0,1104.0,1371.0,0.47161951168033545,Alabama,Seton Hall
48,2018.0,1104.0,1372.0,0.9854654438570576,Alabama,SF Austin
49,2018.0,1104.0,1382.0,0.6590825790674752,Alabama,St Bonaventure
50,2018.0,1104.0,1393.0,0.540550358712833,Alabama,Syracuse
51,2018.0,1104.0,1395.0,0.6042787754719275,Alabama,TCU
52,2018.0,1104.0,1397.0,0.4159833099142121,Alabama,Tennessee
53,2018.0,1104.0,1400.0,0.5045024997637342,Alabama,Texas
54,2018.0,1104.0,1401.0,0.5290215687043782,Alabama,Texas A&M
55,2018.0,1104.0,1403.0,0.280008095653151,Alabama,Texas Tech
56,2018.0,1104.0,1411.0,0.9917056386876497,Alabama,TX Southern
57,2018.0,1104.0,1417.0,0.5715142987912337,Alabama,UCLA
58,2018.0,1104.0,1420.0,0.9666215386710176,Alabama,UMBC
59,2018.0,1104.0,1422.0,0.15387514269607472,Alabama,UNC Greensboro
60,2018.0,1104.0,1437.0,0.19178935067507336,Alabama,Villanova
61,2018.0,1104.0,1438.0,0.0655024645634051,Alabama,Virginia
62,2018.0,1104.0,1439.0,0.32034764640606384,Alabama,Virginia Tech
63,2018.0,1104.0,1452.0,0.3046052817028004,Alabama,West Virginia
64,2018.0,1104.0,1455.0,0.53988304222619,Alabama,Wichita St
65,2018.0,1104.0,1460.0,0.9949527417675229,Alabama,Wright St
66,2018.0,1104.0,1462.0,0.2794357154992988,Alabama,Xavier
67,2018.0,1112.0,1113.0,0.32234060922740854,Arizona,Arizona St
68,2018.0,1112.0,1116.0,0.7363797039185793,Arizona,Arkansas
69,2018.0,1112.0,1120.0,0.7381180037242715,Arizona,Auburn
70,2018.0,1112.0,1137.0,0.9952719828960696,Arizona,Bucknell
71,2018.0,1112.0,1138.0,0.9989230145010328,Arizona,Buffalo
72,2018.0,1112.0,1139.0,0.810421446673724,Arizona,Butler
73,2018.0,1112.0,1153.0,0.6686626577329339,Arizona,Cincinnati
74,2018.0,1112.0,1155.0,0.6316693515975721,Arizona,Clemson
75,2018.0,1112.0,1158.0,0.9967235523455712,Arizona,Col Charleston
76,2018.0,1112.0,1166.0,0.7881365116286646,Arizona,Creighton
77,2018.0,1112.0,1168.0,,Arizona,CS Fullerton
78,2018.0,1112.0,1172.0,0.8100167579258508,Arizona,Davidson
79,2018.0,1112.0,1181.0,0.43688391859636244,Arizona,Duke
80,2018.0,1112.0,1196.0,0.5971503867412735,Arizona,Florida
81,2018.0,1112.0,1199.0,0.520966282058554,Arizona,Florida St
82,2018.0,1112.0,1209.0,,Arizona,Georgia St
83,2018.0,1112.0,1211.0,0.6681615095336046,Arizona,Gonzaga
84,2018.0,1112.0,1222.0,0.6164740111077741,Arizona,Houston
85,2018.0,1112.0,1233.0,0.996781893559279,Arizona,Iona
86,2018.0,1112.0,1242.0,0.2791029676524,Arizona,Kansas
87,2018.0,1112.0,1243.0,0.7901619591667602,Arizona,Kansas St
88,2018.0,1112.0,1246.0,0.7174589227920835,Arizona,Kentucky
89,2018.0,1112.0,1252.0,0.9968884855277597,Arizona,Lipscomb
90,2018.0,1112.0,1254.0,,Arizona,Long Island
91,2018.0,1112.0,1260.0,,Arizona,Loyola-Chicago
