,Year,Wteam,Lteam,prob,WTeamName,LTeamName
0,2018.0,1104.0,1112.0,0.33963037585502914,Alabama,Arizona
1,2018.0,1104.0,1113.0,0.5645341458355588,Alabama,Arizona St
2,2018.0,1104.0,1116.0,0.37429360718146815,Alabama,Arkansas
3,2018.0,1104.0,1120.0,0.3293510878027494,Alabama,Auburn
4,2018.0,1104.0,1137.0,0.8713104135210973,Alabama,Bucknell
5,2018.0,1104.0,1138.0,0.712714233263448,Alabama,Buffalo
6,2018.0,1104.0,1139.0,0.44703061011177037,Alabama,Butler
7,2018.0,1104.0,1153.0,0.19051578447438328,Alabama,Cincinnati
8,2018.0,1104.0,1155.0,0.35074180607047306,Alabama,Clemson
9,2018.0,1104.0,1158.0,0.8000264294754241,Alabama,Col Charleston
10,2018.0,1104.0,1166.0,0.42131230341409626,Alabama,Creighton
11,2018.0,1104.0,1168.0,0.8795860050304927,Alabama,CS Fullerton
12,2018.0,1104.0,1172.0,0.7286857986030955,Alabama,Davidson
13,2018.0,1104.0,1181.0,0.26075622341585547,Alabama,Duke
14,2018.0,1104.0,1196.0,0.4192112376939844,Alabama,Florida
15,2018.0,1104.0,1199.0,0.5084949486256438,Alabama,Florida St
16,2018.0,1104.0,1209.0,0.9106594700978052,Alabama,Georgia St
17,2018.0,1104.0,1211.0,0.29350472919150306,Alabama,Gonzaga
18,2018.0,1104.0,1222.0,0.3979143384662814,Alabama,Houston
19,2018.0,1104.0,1233.0,0.9278569274323342,Alabama,Iona
20,2018.0,1104.0,1242.0,0.18288622185477685,Alabama,Kansas
21,2018.0,1104.0,1243.0,0.3595479749200739,Alabama,Kansas St
22,2018.0,1104.0,1246.0,0.3121371024767772,Alabama,Kentucky
23,2018.0,1104.0,1252.0,0.9017453880371141,Alabama,Lipscomb
24,2018.0,1104.0,1254.0,0.9740276706050904,Alabama,Long Island
25,2018.0,1104.0,1260.0,0.5881950813461706,Alabama,Loyola-Chicago
26,2018.0,1104.0,1267.0,0.8272935877267269,Alabama,Marshall
27,2018.0,1104.0,1274.0,0.43312308568650976,Alabama,Miami FL
28,2018.0,1104.0,1276.0,0.2618433583030885,Alabama,Michigan
29,2018.0,1104.0,1277.0,0.1893973334761616,Alabama,Michigan St
30,2018.0,1104.0,1281.0,0.4871354926287652,Alabama,Missouri
31,2018.0,1104.0,1285.0,0.7824785682333494,Alabama,Montana
32,2018.0,1104.0,1293.0,0.7073821341581543,Alabama,Murray St
33,2018.0,1104.0,1300.0,0.9900712536055271,Alabama,NC Central
34,2018.0,1104.0,1301.0,0.4948240877106599,Alabama,NC State
35,2018.0,1104.0,1305.0,0.529368751719115,Alabama,Nevada
36,2018.0,1104.0,1308.0,0.6326407352469913,Alabama,New Mexico St
37,2018.0,1104.0,1314.0,0.27405292775239165,Alabama,North Carolina
38,2018.0,1104.0,1326.0,0.3715944443332996,Alabama,Ohio St
39,2018.0,1104.0,1328.0,0.44484821690574483,Alabama,Oklahoma
40,2018.0,1104.0,1335.0,0.869147644022417,Alabama,Penn
41,2018.0,1104.0,1344.0,0.4302183411002629,Alabama,Providence
42,2018.0,1104.0,1345.0,0.26057959470551745,Alabama,Purdue
43,2018.0,1104.0,1347.0,0.937588198398291,Alabama,Radford
44,2018.0,1104.0,1348.0,0.5384849220422594,Alabama,Rhode Island
45,2018.0,1104.0,1355.0,0.6434409813963197,Alabama,S Dakota St
46,2018.0,1104.0,1361.0,0.674126234728525,Alabama,San Diego St
47,2018.0,1104.0,1371.0,0.42761499553797805,Alabama,Seton Hall
48,2018.0,1104.0,1372.0,0.8759411083661685,Alabama,SF Austin
49,2018.0,1104.0,1382.0,0.5927757955058359,Alabama,St Bonaventure
50,2018.0,1104.0,1393.0,0.5545226189280905,Alabama,Syracuse
51,2018.0,1104.0,1395.0,0.38467642678549213,Alabama,TCU
52,2018.0,1104.0,1397.0,0.25452653323452823,Alabama,Tennessee
53,2018.0,1104.0,1400.0,0.42302720042272113,Alabama,Texas
